MofName,Label,Partition,Di,Df,Dif,rho,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,POAV,PONAV,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3
ABAVIJ_clean,1.0,train,4.45543,2.4972,4.39809,1.52493,0.0,0.0,0.1043,0.0683965821381965,0.0,0.1043,0.0,0.0683964,0.0,137.716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.2133333333333333,0.1933333333333332,0.0,-2.0,-1.3333333333333333,-2.333333333333333,0.0,2.0,6.0,7.0,0.0,-6.600000000000001,-4.671406666666667,-7.371406666666668,0.0,0.9200000000000004,1.4800000000000002,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3333333333333333,2.6666666666666665,2.333333333333333,0.5427666666666666,0.7597333333333335,1.2999999999999998,1.126966666666667,2.0,6.0,8.0,7.333333333333333,59.0,60.0,107.33333333333331,82.66666666666667,36.98,95.67333333333332,136.63507600000003,129.96174266666665,10.9696,11.015999999999998,23.36373333333333,18.738666666666663,0.0,0.0,0.0,0.0,0.0,3.140000000000001,3.920000000000001,9.6,0.0,22.0,24.0,60.0,0.0,116.0,168.0,348.0,0.0,-8.56,-5.359999999999999,-12.88,26.0,56.0,108.0,176.0,16.803200000000004,40.51040000000003,72.61239999999998,105.39200000000002,164.0,448.0,652.0,752.0,2598.0,6408.0,9508.0,10848.0,216.73399999999992,413.58079999999984,955.7128,1458.0352,1.0,6.0,8.0,16.0,1.5876,5.5692,7.7616,13.305600000000002,36.0,84.0,144.0,216.0,729.0,1242.0,1296.0,2268.0,3.5344,37.2992,38.352,80.7648,13.0,26.0,38.0,42.0,5.7333,12.7666,17.2678,16.610999999999997,64.0,150.0,190.0,168.0,397.0,768.0,1020.0,884.0,91.2838,176.001,261.8652,273.572
ABAYIO_clean,1.0,train,11.38838,4.31822,11.37474,0.949126,1229.18,1295.07,0.5109,0.5382846956041664,0.3991,0.1118,0.420492,0.117793,1914.32,536.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.08,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.5328999999999998,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.88999999999999,87.98,119.78000000000002,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,0.0,0.0,0.0,0.0,0.0,3.04,2.48,5.119999999999998,0.0,16.0,8.0,20.0,0.0,76.0,76.0,144.0,0.0,-9.17,-4.0,-11.56,16.0,36.0,64.0,80.0,12.459199999999996,30.7332,45.7408,55.4128,100.0,244.0,320.0,384.0,2484.0,5668.0,6624.0,7136.0,145.455,245.256,615.8415999999999,635.2959999999999,1.0,5.0,4.0,8.0,1.9321,5.434899999999999,4.281199999999999,8.340000000000002,25.0,45.0,60.0,100.0,625.0,1225.0,600.0,1400.0,2.4025000000000003,26.226000000000003,15.81,37.137999999999984,18.0,36.0,54.0,66.0,8.944199999999999,19.126800000000003,27.591,31.000200000000007,90.0,216.0,294.0,306.0,711.0,1260.0,1896.0,1944.0,144.0441,255.969,399.6456,462.213
ABAYOU_clean,1.0,test,11.249,4.50635,11.249,0.979267,1267.02,1293.85,0.5178,0.5287628399609096,0.401,0.1168,0.40949,0.119273,1896.83,552.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.08,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.5328999999999998,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.88999999999999,87.98,119.78000000000002,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,0.0,0.0,0.0,0.0,0.0,2.39,1.9600000000000009,4.079999999999999,0.0,16.0,8.0,20.0,0.0,86.0,84.0,160.0,0.0,-7.519999999999999,-2.68,-8.920000000000002,16.0,36.0,64.0,80.0,11.7702,28.7,44.13920000000001,53.8944,100.0,244.0,320.0,384.0,2692.0,6060.0,6816.0,7392.0,147.71880000000002,267.5903999999999,629.3055999999999,653.4591999999998,1.0,5.0,4.0,8.0,1.5876,4.9266000000000005,3.8808,7.560000000000001,25.0,45.0,60.0,100.0,729.0,1323.0,648.0,1512.0,3.5343999999999984,31.8096,19.17599999999999,45.0448,18.0,36.0,54.0,66.0,8.944199999999999,19.126800000000003,27.591,31.000200000000007,90.0,216.0,294.0,306.0,711.0,1260.0,1896.0,1944.0,144.0441,255.969,399.6456,462.213
ABESUX_clean,1.0,train,5.87733,4.42071,5.87661,3.74291,1302.0,347.858,0.3996,0.1067618510730955,0.3996,0.0,0.106762,0.0,556.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4210854715202005e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,2.4,0.0,0.6510399999999998,1.23808,1.27896,0.0,4.0,6.4,2.4,0.0,96.2,192.0,153.6,0.0,147.47200000000004,212.0,67.416,0.0,10.426099999999998,12.05376,28.40064,0.0,0.0,0.0,0.0,0.0,0.0,5.168,8.256,10.072000000000005,0.0,24.8,41.6,47.2,0.0,464.8,784.0,924.0,0.0,-10.536,-15.776,-20.072,50.0,192.0,496.0,680.0,54.9416,243.7312,466.5976,668.7688000000003,952.0,4384.0,7600.0,10296.0,88488.0,235840.0,271872.0,442072.0,436.0880000000001,1016.7072000000004,4112.643200000003,5075.0936,1.0,7.2,10.4,13.6,2.89,12.0224,16.020799999999994,22.181600000000003,54.4,230.4,291.2,339.2,8464.0,18179.2,15897.6,30102.4,1.9044,28.25136,41.57664,53.5992,5.0,8.0,12.0,0.0,3.2551999999999994,6.1904,6.394799999999999,0.0,20.0,32.0,12.0,0.0,481.0,960.0,768.0,0.0,52.13049999999999,60.2688,142.0032,0.0
ABETAE_clean,1.0,train,5.88004,4.42278,5.88004,3.69928,1354.95,366.274,0.4221,0.1141032849635604,0.4221,0.0,0.114103,0.0,594.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4210854715202005e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,2.4,0.0,0.6510399999999998,1.23808,1.27896,0.0,4.0,6.4,2.4,0.0,96.2,192.0,153.6,0.0,147.47200000000004,212.0,67.416,0.0,10.426099999999998,12.05376,28.40064,0.0,0.0,0.0,0.0,0.0,0.0,5.168,8.256,10.072000000000005,0.0,24.8,41.6,47.2,0.0,464.8,784.0,924.0,0.0,-10.536,-15.776,-20.072,50.0,192.0,496.0,680.0,54.9416,243.7312,466.5976,668.7688000000003,952.0,4384.0,7600.0,10296.0,88488.0,235840.0,271872.0,442072.0,436.0880000000001,1016.7072000000004,4112.643200000003,5075.0936,1.0,7.2,10.4,13.6,2.89,12.0224,16.020799999999994,22.181600000000003,54.4,230.4,291.2,339.2,8464.0,18179.2,15897.6,30102.4,1.9044,28.25136,41.57664,53.5992,5.0,8.0,12.0,0.0,3.2551999999999994,6.1904,6.394799999999999,0.0,20.0,32.0,12.0,0.0,481.0,960.0,768.0,0.0,52.13049999999999,60.2688,142.0032,0.0
ABEXEM_clean,0.0,train,4.82084,4.14331,4.80387,1.76082,635.711,361.031,0.2119,0.1203416589997841,0.2119,0.0,0.120342,0.0,557.942,0.0,0.0,0.0,0.0,0.0,0.0,-0.0133333333333333,-0.0133333333333333,-0.02,0.0,-0.6666666666666666,-0.6666666666666666,-1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0,-2.0000000000000004,-2.0000000000000004,-2.7000000000000006,0.0,0.2966666666666667,0.2966666666666667,0.43,0.0,0.0,0.0,0.0,0.0,-0.04,0.0669629629629629,0.0828148148148147,0.0,-2.0,-1.7185185185185186,-0.9259259259259258,0.0,2.0,3.688888888888889,2.8962962962962964,0.0,-6.506666666666667,-5.692371703703705,-3.1212605925925923,0.0,0.9153333333333336,1.1517777777777782,0.7894074074074074,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.1776333333333332,0.1873666666666666,0.365,0.3698666666666667,0.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,21.33333333333333,16.0,37.333333333333336,34.666666666666664,9.363333333333332,19.96333333333333,29.326666666666668,33.03666666666666,3.944533333333333,2.9239999999999995,6.868533333333332,6.409866666666667,1.0,1.2814814814814814,2.562962962962963,2.562962962962963,0.5412318518518517,0.7289903703703705,1.3483333333333336,1.336423703703704,1.8444444444444448,5.533333333333334,7.940740740740742,6.303703703703704,59.77777777777778,58.13333333333334,119.88148148148149,125.3777777777778,35.59711111111111,90.10703703703702,135.09229134814814,116.67740245925924,11.104,10.666933333333333,23.65348148148148,24.754791111111107,0.0,0.0,0.0,0.0,0.0,7.16,8.74,13.02,0.0,39.5,43.0,69.0,0.0,369.5,484.5,660.0,0.0,-16.75,-13.774999999999997,-24.025,18.0,40.0,84.0,116.0,12.5446,33.00120000000001,60.39559999999997,65.72720000000001,124.0,354.0,547.0,406.0,4041.0,7692.0,10124.0,5364.0,146.55174999999997,252.523,724.8794,981.9539999999996,1.0,7.5,9.5,13.0,2.8561,9.32035,12.362349999999996,15.1255,56.5,128.0,214.5,218.5,3249.0,3306.0,3249.0,4617.0,1.2100000000000002,27.5,26.647500000000004,42.1575,11.333333333333334,22.0,30.666666666666668,30.666666666666668,5.830999999999999,11.893933333333337,15.9108,15.09106666666667,52.66666666666666,118.0,138.66666666666666,126.66666666666669,490.6666666666667,840.0,1204.0,1128.0,96.45486666666667,165.495,247.3212,245.8908
ABEXIQ_clean,0.0,train,4.80529,4.08045,4.80529,1.7876,610.292,341.403,0.2087,0.1167487133586932,0.2087,0.0,0.116749,0.0,543.161,0.0,0.0,0.0,0.0,0.0,0.0,-0.0133333333333333,-0.0133333333333333,-0.02,0.0,-0.6666666666666666,-0.6666666666666666,-1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0,-2.0000000000000004,-2.0000000000000004,-2.7000000000000006,0.0,0.2966666666666667,0.2966666666666667,0.43,0.0,0.0,0.0,0.0,0.0,-0.04,0.0669629629629629,0.0828148148148147,0.0,-2.0,-1.7185185185185186,-0.9259259259259258,0.0,2.0,3.688888888888889,2.8962962962962964,0.0,-6.506666666666668,-5.692371703703705,-3.1212605925925923,0.0,0.9153333333333336,1.151777777777778,0.7894074074074076,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.1776333333333332,0.1873666666666666,0.365,0.3698666666666667,0.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,21.33333333333333,16.0,37.333333333333336,34.666666666666664,9.363333333333332,19.96333333333333,29.326666666666668,33.03666666666666,3.944533333333333,2.9239999999999995,6.868533333333332,6.409866666666667,1.0,1.2814814814814814,2.562962962962963,2.562962962962963,0.5412318518518519,0.7289903703703705,1.3483333333333336,1.336423703703704,1.8444444444444448,5.533333333333333,7.940740740740741,6.303703703703705,59.77777777777778,58.13333333333334,119.88148148148149,125.3777777777778,35.597111111111104,90.10703703703702,135.0922913481481,116.67740245925926,11.104,10.666933333333333,23.65348148148148,24.75479111111111,0.0,0.0,0.0,0.0,0.0,6.709999999999999,8.169999999999996,12.239999999999998,0.0,39.5,43.0,69.0,0.0,377.0,494.0,673.0,0.0,-16.599999999999998,-13.585,-23.765,18.0,40.0,84.0,116.0,12.3454,32.33940000000001,59.51779999999998,65.72720000000001,124.0,354.0,547.0,406.0,4156.0,7808.0,10238.0,5364.0,146.59614999999997,253.523,725.8484,981.9539999999996,1.0,7.5,9.5,13.0,2.6569,8.98945,11.92345,14.5885,56.5,128.0,214.5,218.5,3364.0,3364.0,3306.0,4698.0,1.2544000000000002,28.000000000000004,27.132000000000005,42.92400000000001,11.333333333333334,22.0,30.666666666666668,30.666666666666668,5.831,11.893933333333337,15.9108,15.09106666666667,52.66666666666666,118.0,138.66666666666666,126.66666666666669,490.6666666666667,840.0,1204.0,1128.0,96.45486666666667,165.495,247.3212,245.8908
ABEXOW_clean,0.0,train,4.7727,4.04921,4.7549,1.81243,570.481,314.759,0.1981,0.1093007729953708,0.1981,0.0,0.1093,0.0,509.659,0.0,0.0,0.0,0.0,0.0,0.0,-0.0133333333333333,-0.0133333333333333,-0.02,0.0,-0.6666666666666666,-0.6666666666666666,-1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0,-2.0000000000000004,-2.0000000000000004,-2.7000000000000006,0.0,0.2966666666666667,0.2966666666666667,0.43,0.0,0.0,0.0,0.0,0.0,-0.04,0.0669629629629629,0.0828148148148147,0.0,-2.0,-1.7185185185185188,-0.9259259259259258,0.0,2.0,3.688888888888889,2.8962962962962964,0.0,-6.506666666666668,-5.692371703703705,-3.1212605925925923,0.0,0.9153333333333336,1.1517777777777782,0.7894074074074076,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.1776333333333332,0.1873666666666666,0.365,0.3698666666666667,0.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,21.33333333333333,16.0,37.333333333333336,34.666666666666664,9.363333333333332,19.96333333333333,29.326666666666668,33.03666666666666,3.944533333333333,2.9239999999999995,6.868533333333332,6.409866666666667,1.0,1.2814814814814814,2.562962962962963,2.562962962962963,0.541231851851852,0.7289903703703705,1.3483333333333334,1.336423703703704,1.8444444444444448,5.533333333333333,7.940740740740742,6.303703703703705,59.77777777777778,58.13333333333334,119.88148148148149,125.3777777777778,35.597111111111104,90.10703703703705,135.09229134814814,116.67740245925926,11.104000000000005,10.666933333333334,23.65348148148148,24.75479111111111,0.0,0.0,0.0,0.0,0.0,7.685,9.405,13.93,0.0,39.5,43.0,69.0,0.0,384.5,503.5,686.0,0.0,-16.525000000000002,-13.49,-23.635,18.0,40.0,84.0,116.0,12.7861,33.773300000000006,61.41969999999998,65.7272,124.0,354.0,547.0,406.0,4273.0,7924.0,10352.0,5364.0,146.61865,254.023,726.3328999999999,981.9539999999996,1.0,7.5,9.5,13.0,3.0976,9.7064,12.874399999999998,15.752,56.5,128.0,214.5,218.5,3481.0,3422.0,3363.0,4779.0,1.2768999999999997,28.25,27.37425,43.30725,11.333333333333334,22.0,30.666666666666668,30.666666666666668,5.831,11.893933333333331,15.9108,15.09106666666667,52.66666666666666,118.0,138.66666666666666,126.66666666666669,490.6666666666667,840.0,1204.0,1128.0,96.45486666666667,165.495,247.3212,245.8908
ABEXUC_clean,0.0,val,4.74458,4.0168,4.72731,1.84813,549.224,297.178,0.1988,0.1075681905493661,0.1988,0.0,0.107568,0.0,506.342,0.0,0.0,0.0,0.0,0.0,0.0,-0.0133333333333333,-0.0133333333333333,-0.02,0.0,-0.6666666666666666,-0.6666666666666666,-1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0,-2.0000000000000004,-2.0000000000000004,-2.7000000000000006,0.0,0.2966666666666667,0.2966666666666667,0.43,0.0,0.0,0.0,0.0,0.0,-0.04,0.0669629629629629,0.0828148148148147,0.0,-2.0,-1.7185185185185188,-0.9259259259259258,0.0,2.0,3.688888888888889,2.8962962962962964,0.0,-6.506666666666668,-5.692371703703705,-3.1212605925925923,0.0,0.9153333333333336,1.1517777777777782,0.7894074074074076,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.1776333333333332,0.1873666666666666,0.365,0.3698666666666667,0.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,21.33333333333333,16.0,37.333333333333336,34.666666666666664,9.363333333333332,19.96333333333333,29.326666666666668,33.03666666666666,3.944533333333333,2.9239999999999995,6.868533333333332,6.409866666666667,1.0,1.2814814814814814,2.562962962962963,2.562962962962963,0.541231851851852,0.7289903703703705,1.3483333333333334,1.336423703703704,1.8444444444444448,5.533333333333333,7.940740740740742,6.303703703703705,59.77777777777778,58.13333333333334,119.88148148148149,125.3777777777778,35.597111111111104,90.10703703703705,135.09229134814814,116.67740245925926,11.104000000000005,10.666933333333334,23.65348148148148,24.75479111111111,0.0,0.0,0.0,0.0,0.0,7.535,9.215,13.670000000000002,0.0,39.5,43.0,69.0,0.0,392.0,513.0,699.0,0.0,-16.45,-13.394999999999998,-23.505000000000003,18.0,40.0,84.0,116.0,12.7161,33.5527,61.127099999999984,65.7272,124.0,354.0,547.0,406.0,4392.0,8040.0,10466.0,5364.0,146.64135,254.523,726.8173999999999,981.9539999999996,1.0,7.5,9.5,13.0,3.0276,9.5961,12.7281,15.573,56.5,128.0,214.5,218.5,3600.0,3480.0,3420.0,4860.0,1.2996,28.5,27.616499999999995,43.6905,11.333333333333334,22.0,30.666666666666668,30.666666666666668,5.831,11.893933333333331,15.9108,15.09106666666667,52.66666666666666,118.0,138.66666666666666,126.66666666666669,490.6666666666667,840.0,1204.0,1128.0,96.45486666666667,165.495,247.3212,245.8908
ABEYAJ_clean,0.0,train,4.73097,3.9715,4.71386,1.90641,509.563,267.29,0.1946,0.102076678154227,0.1946,0.0,0.102077,0.0,488.793,0.0,0.0,0.0,0.0,0.0,0.0,-0.0133333333333333,-0.0133333333333333,-0.02,0.0,-0.6666666666666666,-0.6666666666666666,-1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0,-2.0000000000000004,-2.0000000000000004,-2.7000000000000006,0.0,0.2966666666666667,0.2966666666666667,0.43,0.0,0.0,0.0,0.0,0.0,-0.04,0.0669629629629628,0.0828148148148147,0.0,-2.0,-1.7185185185185186,-0.9259259259259258,0.0,2.0,3.688888888888889,2.8962962962962964,0.0,-6.506666666666668,-5.692371703703705,-3.1212605925925923,0.0,0.9153333333333336,1.1517777777777782,0.7894074074074074,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.1776333333333332,0.1873666666666666,0.365,0.3698666666666667,0.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,21.33333333333333,16.0,37.333333333333336,34.666666666666664,9.363333333333332,19.96333333333333,29.326666666666668,33.03666666666666,3.944533333333333,2.9239999999999995,6.868533333333332,6.409866666666667,1.0,1.2814814814814814,2.562962962962963,2.562962962962963,0.5412318518518519,0.7289903703703705,1.3483333333333336,1.3364237037037037,1.8444444444444448,5.533333333333333,7.940740740740741,6.303703703703705,59.77777777777778,58.13333333333334,119.88148148148149,125.3777777777778,35.59711111111111,90.10703703703705,135.09229134814814,116.67740245925926,11.104,10.666933333333334,23.65348148148148,24.75479111111111,0.0,0.0,0.0,0.0,0.0,7.385000000000001,9.025,13.409999999999998,0.0,39.5,43.0,69.0,0.0,407.0,532.0,725.0,0.0,-16.225,-13.109999999999998,-23.115,18.0,40.0,84.0,116.0,12.6469,33.332100000000004,60.834499999999984,65.7272,124.0,354.0,547.0,406.0,4636.0,8272.0,10694.0,5364.0,146.71065,256.023,728.2709,981.9539999999996,1.0,7.5,9.5,13.0,2.9584,9.4858,12.5818,15.394,56.5,128.0,214.5,218.5,3844.0,3596.0,3534.0,5022.0,1.3688999999999998,29.25,28.34325,44.84025,11.333333333333334,22.0,30.666666666666668,30.666666666666668,5.831,11.893933333333331,15.9108,15.09106666666667,52.66666666666666,118.0,138.66666666666666,126.66666666666669,490.6666666666667,840.0,1204.0,1128.0,96.45486666666667,165.495,247.3212,245.8908
ABEYEN_clean,0.0,train,4.70447,3.94356,4.68752,1.9293,477.335,247.414,0.1873,0.0970818431555486,0.1873,0.0,0.097082,0.0,466.943,0.0,0.0,0.0,0.0,0.0,0.0,-0.0133333333333333,-0.0133333333333333,-0.02,0.0,-0.6666666666666666,-0.6666666666666666,-1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0,-2.0000000000000004,-2.0000000000000004,-2.7000000000000006,0.0,0.2966666666666667,0.2966666666666667,0.43,0.0,0.0,0.0,0.0,0.0,-0.04,0.0669629629629628,0.0828148148148147,0.0,-2.0,-1.7185185185185186,-0.9259259259259258,0.0,2.0,3.688888888888889,2.8962962962962964,0.0,-6.506666666666668,-5.692371703703705,-3.1212605925925923,0.0,0.9153333333333336,1.1517777777777782,0.7894074074074074,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.1776333333333332,0.1873666666666666,0.365,0.3698666666666667,0.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,21.33333333333333,16.0,37.333333333333336,34.666666666666664,9.363333333333332,19.96333333333333,29.326666666666668,33.03666666666666,3.944533333333333,2.9239999999999995,6.868533333333332,6.409866666666667,1.0,1.2814814814814814,2.562962962962963,2.562962962962963,0.5412318518518519,0.7289903703703705,1.3483333333333336,1.3364237037037037,1.8444444444444448,5.533333333333333,7.940740740740741,6.303703703703705,59.77777777777778,58.13333333333334,119.88148148148149,125.3777777777778,35.59711111111111,90.10703703703705,135.09229134814814,116.67740245925926,11.104,10.666933333333334,23.65348148148148,24.75479111111111,0.0,0.0,0.0,0.0,0.0,7.085,8.645,12.889999999999995,0.0,39.5,43.0,69.0,0.0,414.5,541.5,738.0,0.0,-16.0,-12.825,-22.725000000000005,18.0,40.0,84.0,116.0,12.5109,32.8909,60.24929999999998,65.7272,124.0,354.0,547.0,406.0,4761.0,8388.0,10808.0,5364.0,146.78175,257.523,729.7244000000001,981.9539999999996,1.0,7.5,9.5,13.0,2.822399999999999,9.2652,12.289199999999996,15.035999999999998,56.5,128.0,214.5,218.5,3969.0,3654.0,3591.0,5103.0,1.4399999999999995,30.0,29.07,45.99,11.333333333333334,22.0,30.666666666666668,30.666666666666668,5.831,11.893933333333331,15.9108,15.09106666666667,52.66666666666666,118.0,138.66666666666666,126.66666666666669,490.6666666666667,840.0,1204.0,1128.0,96.45486666666667,165.495,247.3212,245.8908
